Pincode,Location,Taluk,District,,State,,
782103,Morigaon,Taluk,Marigaon,District,ASSAM,State,
785603,Glt,Taluk,Golaghat,District,ASSAM,State,
781308,Barpeta,Barpeta,District,ASSAM,ASSAM,,
781102,Hajo Block,Taluk,Kamrup,District,ASSAM,State,
785661,Svs,Taluk,Sibsagar,District,ASSAM,State,
788820,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
788819,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
788820,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
788819,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
782402,Sonapur Block,Taluk,Kamrup,District,ASSAM,State,
785701,Sibsagar,Taluk,Sibsagar,District,ASSAM,State,
782126,Morigaon,Taluk,Marigaon,District,ASSAM,State,
781129,Luki ( Boko Block),Taluk,Kamrup,District,ASSAM,State,
786154,Doom Dooma,Taluk,Tinsukia,District,ASSAM,State,
782002,Nagaon,Taluk,Nagaon,District,ASSAM,State,
788152,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
788152,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
788152,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
788151,Cachar,Cachar,District,ASSAM,ASSAM,,
788831,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
781102,Hajo Block,Taluk,Kamrup,District,ASSAM,State,
783348,Raniganj,Taluk,Dhubri,District,ASSAM,State,
783347,Dotma,Taluk,Kokrajhar,District,ASSAM,State,
785676,Khowang Ghat,Taluk,Dibrugarh,District,ASSAM,State,
781121,Bezera Block,Taluk,Kamrup,District,ASSAM,State,
784170,Halem,Taluk,Sonitpur,District,ASSAM,State,
784104,Shalonibari,Taluk,Sonitpur,District,ASSAM,State,
785702,Glt,Taluk,Golaghat,District,ASSAM,State,
783370,Kokrajhar,Taluk,Kokrajhar,District,ASSAM,State,
782121,Bhuragaon,Taluk,Marigaon,District,ASSAM,State,
781103,Hajo Block,Taluk,Kamrup,District,ASSAM,State,
785681,Svs,Taluk,Sibsagar,District,ASSAM,State,
782141,Nagaon,Taluk,Nagaon,District,ASSAM,State,
785636,Jorhat,Taluk,Jorhat,District,ASSAM,State,
783370,Kokrajhar,Taluk,Kokrajhar,District,ASSAM,State,
784161,Bihupuria,Taluk,Lakhimpur,District,ASSAM,State,
783330,South Salmara,Taluk,Dhubri,District,ASSAM,State,
782486,Hamren,Taluk,Karbi Anglong,District,ASSAM,State,
786182,Margherita,Taluk,Tinsukia,District,ASSAM,State,
783390,Manikpur,Taluk,Bongaigaon,District,ASSAM,State,
788830,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
788830,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
786190,Doomdooma,Taluk,Tinsukia,District,ASSAM,State,
783390,Manikpur,Taluk,Bongaigaon,District,ASSAM,State,
787058,Machkhowa,Taluk,Dhemaji,District,ASSAM,State,
786012,Mohanbari,Taluk,Dibrugarh,District,ASSAM,State,
786003,Dibrugarh,Taluk,Dibrugarh,District,ASSAM,State,
783337,Bilasipara,Taluk,Dhubri,District,ASSAM,State,
783361,Gossaigaon,Taluk,Kokrajhar,District,ASSAM,State,
788818,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
782103,Nagaon,Taluk,Nagaon,District,ASSAM,State,
781378,Haribhanga,Taluk,Nalbari,District,ASSAM,State,
784160,Laluk,Taluk,Lakhimpur,District,ASSAM,State,
783126,Krishnai,Taluk,Goalpara,District,ASSAM,State,
788805,Cachar,Cachar,District,ASSAM,ASSAM,,
788107,Cachar,Cachar,District,ASSAM,ASSAM,,
788011,Cachar,Cachar,District,ASSAM,ASSAM,,
788161,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
784510,Harisinga,Taluk,Darrang,District,ASSAM,State,
782447,Diphu,Taluk,Karbi Anglong,District,ASSAM,State,
784160,Laluk,Taluk,Lakhimpur,District,ASSAM,State,
788806,Karimganj,Karimganj,District,ASSAM,ASSAM,,
783129,Lakhipur,Taluk,Goalpara,District,ASSAM,State,
782136,Nagaon,Taluk,Nagaon,District,ASSAM,State,
781325,Barpeta,Barpeta,District,ASSAM,ASSAM,,
786184,Chabua,Taluk,Dibrugarh,District,ASSAM,State,
782411,Morigaon,Taluk,Marigaon,District,ASSAM,State,
786103,Tengakhat,Taluk,Dibrugarh,District,ASSAM,State,
788002,Cachar,Cachar,District,ASSAM,ASSAM,,
788030,Cachar,Cachar,District,ASSAM,ASSAM,,
782142,Nagaon,Taluk,Nagaon,District,ASSAM,State,
781038,Gmc,Taluk,Kamrup,District,ASSAM,State,
785007,Jorhat,Taluk,Jorhat,District,ASSAM,State,
787057,Dhemaji,Taluk,Dhemaji,District,ASSAM,State,
785101,Jorhat,Taluk,Jorhat,District,ASSAM,State,
784524,Hatigarh,Taluk,Darrang,District,ASSAM,State,
785664,Svs,Taluk,Sibsagar,District,ASSAM,State,
786154,Doom Dooma,Taluk,Tinsukia,District,ASSAM,State,
788116,Cachar,Cachar,District,ASSAM,ASSAM,,
788832,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
788726,Karimganj,Karimganj,District,ASSAM,ASSAM,,
785626,Glt,Taluk,Golaghat,District,ASSAM,State,
785609,Glt,Taluk,Golaghat,District,ASSAM,State,
787031,Lakhimpur,Taluk,Lakhimpur,District,ASSAM,State,
784144,Pathorighat,Taluk,Darrang,District,ASSAM,State,
781337,Hatinamati,Taluk,Nalbari,District,ASSAM,State,
784182,Naharbari,Taluk,Sonitpur,District,ASSAM,State,
781137,P. Chamaria ( Goroimari Block),Taluk,Kamrup,District,ASSAM,State,
782003,Nagaon,Taluk,Nagaon,District,ASSAM,State,
783348,Raniganj,Taluk,Dhubri,District,ASSAM,State,
785696,Svs,Taluk,Sibsagar,District,ASSAM,State,
782125,Nagaon,Taluk,Nagaon,District,ASSAM,State,
782122,Nagaon,Taluk,Nagaon,District,ASSAM,State,
786010,Lahoal,Taluk,Dibrugarh,District,ASSAM,State,
782120,Nagaon,Nagaon,District,ASSAM,ASSAM,,
783135,Fekamari,Taluk,Dhubri,District,ASSAM,State,
782446,Lanka,Taluk,Nagaon,District,ASSAM,State,
788120,Cachar,Cachar,District,ASSAM,ASSAM,,
788127,Cachar,Cachar,District,ASSAM,ASSAM,,
788831,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
784001,Hazarapar,Taluk,Sonitpur,District,ASSAM,State,
788101,Cachar,Cachar,District,ASSAM,ASSAM,,
785104,Majuli,Taluk,Jorhat,District,ASSAM,State,
784145,Sipajhar,Taluk,Darrang,District,ASSAM,State,
786101,Dikom,Taluk,Dibrugarh,District,ASSAM,State,
781360,Haziragaon,Taluk,Nalbari,District,ASSAM,State,
783128,South Salmara,Taluk,Dhubri,District,ASSAM,State,
781127,Chamaria,Taluk,Kamrup,District,ASSAM,State,
781338,Nalbari,Nalbari,District,ASSAM,ASSAM,,
783345,Dotma,Taluk,Kokrajhar,District,ASSAM,State,
781375,Helana,Taluk,Nalbari,District,ASSAM,State,
781382,Hajo Block,Taluk,Kamrup,District,ASSAM,State,
784172,Barangabari,Taluk,Sonitpur,District,ASSAM,State,
785636,Jorhat,Taluk,Jorhat,District,ASSAM,State,
784148,Duni,Taluk,Darrang,District,ASSAM,State,
781036,Gmc,Taluk,Kamrup,District,ASSAM,State,
782002,Nagaon,Taluk,Nagaon,District,ASSAM,State,
782481,Diphu,Taluk,Karbi Anglong,District,ASSAM,State,
781138,Hidilatari,Taluk,Nalbari,District,ASSAM,State,
782480,Bokajan,Taluk,Karbi Anglong,District,ASSAM,State,
786192,Tinsukia,Taluk,Tinsukia,District,ASSAM,State,
788815,Cachar,Cachar,District,ASSAM,ASSAM,,
786002,Dibrugarh,Taluk,Dibrugarh,District,ASSAM,State,
782440,Nagon,Taluk,Nagaon,District,ASSAM,State,
787032,Lakhimpur,Taluk,Lakhimpur,District,ASSAM,State,
781380,Kamalpur Block,Taluk,Kamrup,District,ASSAM,State,
788106,Cachar,Cachar,District,ASSAM,ASSAM,,
782435,Hojai,Taluk,Nagaon,District,ASSAM,State,
782435,Hojai,Taluk,Nagaon,District,ASSAM,State,
782435,Hojai,Taluk,Nagaon,District,ASSAM,State,
786160,Margherita,Taluk,Tinsukia,District,ASSAM,State,
787026,Dhemaji,Taluk,Dhemaji,District,ASSAM,State,
785673,Svs,Taluk,Sibsagar,District,ASSAM,State,
782450,Hamren,Taluk,Karbi Anglong,District,ASSAM,State,
782485,Donka,Taluk,Karbi Anglong,District,ASSAM,State,
784507,Mazbat,Taluk,Darrang,District,ASSAM,State,
786601,Tinsukia,Taluk,Tinsukia,District,ASSAM,State,
788005,Cachar,Cachar,District,ASSAM,ASSAM,,
784169,Howajan,Taluk,Sonitpur,District,ASSAM,State,
784529,Mangaldoi,Taluk,Darrang,District,ASSAM,State,
781316,Howly,Taluk,Barpeta,District,ASSAM,State,
782481,Diphu,Taluk,Karbi Anglong,District,ASSAM,State,
783324,Dhubri,Taluk,Dhubri,District,ASSAM,State,
785702,Glt,Taluk,Golaghat,District,ASSAM,State,
781318,Barpeta,Barpeta,District,ASSAM,ASSAM,,
785685,Svs,Taluk,Sibsagar,District,ASSAM,State,
785626,Glt,Taluk,Golaghat,District,ASSAM,State,
785700,Jorhat,Taluk,Jorhat,District,ASSAM,State,
782002,Nagaon,Taluk,Nagaon,District,ASSAM,State,
781039,Gmc,Taluk,Kamrup,District,ASSAM,State,
785631,Ttb,Taluk,Jorhat,District,ASSAM,State,
788830,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
781032,Gmc,Taluk,Kamrup,District,ASSAM,State,
786174,Margherita,Taluk,Tinsukia,District,ASSAM,State,
788011,Cachar,Cachar,District,ASSAM,ASSAM,,
788728,Karimganj,Karimganj,District,ASSAM,ASSAM,,
781321,Barpeta,Barpeta,District,ASSAM,ASSAM,,
787054,Islamgaon,Taluk,Lakhimpur,District,ASSAM,State,
786157,Chapakhowa,Taluk,Tinsukia,District,ASSAM,State,
782003,Nagaon,Taluk,Nagaon,District,ASSAM,State,
784182,Naharbari,Taluk,Sonitpur,District,ASSAM,State,
785007,Jorhat,Taluk,Jorhat,District,ASSAM,State,
786007,Barbaruah,Taluk,Dibrugarh,District,ASSAM,State,
788002,Cachar,Cachar,District,ASSAM,ASSAM,,
788720,Karimganj,Karimganj,District,ASSAM,ASSAM,,
788160,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
788805,Cachar,Cachar,District,ASSAM,ASSAM,,
788709,Karimganj,Karimganj,District,ASSAM,ASSAM,,
782411,Morigaon,Taluk,Marigaon,District,ASSAM,State,
782411,Morigaon,Taluk,Marigaon,District,ASSAM,State,
782410,Jagiroad,Taluk,Marigaon,District,ASSAM,State,
786004,Dibrugarh,Taluk,Dibrugarh,District,ASSAM,State,
781310,Jagra,Taluk,Nalbari,District,ASSAM,State,
786188,Margherita,Taluk,Tinsukia,District,ASSAM,State,
784149,Thelamara,Taluk,Sonitpur,District,ASSAM,State,
781137,Pubchamaria ( Goroimari Block),Taluk,Kamrup,District,ASSAM,State,
781314,Barpeta,Barpeta,District,ASSAM,ASSAM,,
787026,Dhemaji,Taluk,Dhemaji,District,ASSAM,State,
782142,Nagaon,Taluk,Nagaon,District,ASSAM,State,
782136,Nagaon,Taluk,Nagaon,District,ASSAM,State,
785112,Jorhat,Taluk,Jorhat,District,ASSAM,State,
783348,Raniganj,Taluk,Dhubri,District,ASSAM,State,
781373,Doomni,Taluk,Nalbari,District,ASSAM,State,
781327,Jalahghat,Taluk,Barpeta,District,ASSAM,State,
782127,Morigaon,Taluk,Marigaon,District,ASSAM,State,
788712,Karimganj,Karimganj,District,ASSAM,ASSAM,,
788816,Cachar,Cachar,District,ASSAM,ASSAM,,
786005,Dibrugarh,Taluk,Dibrugarh,District,ASSAM,State,
787055,Dhakuakhana,Taluk,Lakhimpur,District,ASSAM,State,
783132,Lakhipur,Taluk,Goalpara,District,ASSAM,State,
783350,Gossaigaon,Taluk,Kokrajhar,District,ASSAM,State,
784529,Mangaldoi,Taluk,Darrang,District,ASSAM,State,
782485,Donka,Taluk,Karbi Anglong,District,ASSAM,State,
781371,Nalbari,Nalbari,District,ASSAM,ASSAM,,
781378,Jalkhana,Taluk,Nalbari,District,ASSAM,State,
786602,Duliajan,Taluk,Dibrugarh,District,ASSAM,State,
782104,Morigaon,Taluk,Marigaon,District,ASSAM,State,
784522,Khoirabari,Taluk,Darrang,District,ASSAM,State,
781013,Jalukbari Lac,Taluk,Kamrup,District,ASSAM,State,
785680,Svs,Taluk,Sibsagar,District,ASSAM,State,
785630,Ttb,Taluk,Jorhat,District,ASSAM,State,
783330,South Salmara,Taluk,Dhubri,District,ASSAM,State,
788120,Cachar,Cachar,District,ASSAM,ASSAM,,
781141,Bongaon,Taluk,Kamrup,District,ASSAM,State,
783360,Gossaigaon,Taluk,Kokrajhar,District,ASSAM,State,
783348,Raniganj,Taluk,Dhubri,District,ASSAM,State,
788162,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
786004,Dibrugarh,Taluk,Dibrugarh,District,ASSAM,State,
781127,Chamaria,Taluk,Kamrup,District,ASSAM,State,
781365,Rangia Block,Taluk,Kamrup,District,ASSAM,State,
782142,Nagaon,Taluk,Nagaon,District,ASSAM,State,
784114,Orang,Taluk,Darrang,District,ASSAM,State,
785603,Glt,Taluk,Golaghat,District,ASSAM,State,
787057,Dhemaji,Taluk,Dhemaji,District,ASSAM,State,
784180,Jamugurihat,Taluk,Sonitpur,District,ASSAM,State,
782428,Nagaon,Taluk,Nagaon,District,ASSAM,State,
788720,Karimganj,Karimganj,District,ASSAM,ASSAM,,
787110,Sissiborgaon,Taluk,Dhemaji,District,ASSAM,State,
784179,Bedeti,Taluk,Sonitpur,District,ASSAM,State,
784116,Dalgaon,Taluk,Darrang,District,ASSAM,State,
781314,Barpeta,Barpeta,District,ASSAM,ASSAM,,
781334,Janijog,Taluk,Nalbari,District,ASSAM,State,
788801,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
781343,Dhanbil,Taluk,Nalbari,District,ASSAM,State,
781382,Hajo Block,Taluk,Kamrup,District,ASSAM,State,
785636,Jorhat,Taluk,Jorhat,District,ASSAM,State,
787031,Lakhimpur,Taluk,Lakhimpur,District,ASSAM,State,
784161,Badati,Taluk,Lakhimpur,District,ASSAM,State,
781005,Gmc,Taluk,Kamrup,District,ASSAM,State,
782470,Diphu,Taluk,Karbi Anglong,District,ASSAM,State,
781314,Barpeta,Barpeta,District,ASSAM,ASSAM,,
783361,Gossaigaon,Taluk,Kokrajhar,District,ASSAM,State,
788127,Cachar,Cachar,District,ASSAM,ASSAM,,
781316,Barpeta,Barpeta,District,ASSAM,ASSAM,,
785666,Svs,Taluk,Jorhat,District,ASSAM,State,
788818,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
788819,North Cachar Hills,North Cachar Hills,District,ASSAM,ASSAM,,
781305,Barpeta,Barpeta,District,ASSAM,ASSAM,,
781126,Jaysagar,Taluk,Nalbari,District,ASSAM,State,
785682,Svs,Taluk,Sibsagar,District,ASSAM,State,
782122,Nagaon,Taluk,Nagaon,District,ASSAM,State,
782448,Donka,Taluk,Karbi Anglong,District,ASSAM,State,
785105,Majuli,Taluk,Jorhat,District,ASSAM,State,
785105,Majuli,Taluk,Jorhat,District,ASSAM,State,
785105,Majuli,Taluk,Jorhat,District,ASSAM,State,
786614,Jeypore,Taluk,Dibrugarh,District,ASSAM,State,
786614,Naharkatia,Taluk,Dibrugarh,District,ASSAM,State,
783325,Dhubri,Dhubri,District,ASSAM,ASSAM,,
788119,Cachar,Cachar,District,ASSAM,ASSAM,,
785683,Svs,Taluk,Sibsagar,District,ASSAM,State,
785683,Svs,Taluk,Sibsagar,District,ASSAM,State,
785683,Sibsagar,Taluk,Sibsagar,District,ASSAM,State,
785112,Jorhat,Taluk,Jorhat,District,ASSAM,State,
783335,Agomoni,Taluk,Dhubri,District,ASSAM,State,
783346,Dotma,Taluk,Kokrajhar,District,ASSAM,State,
783390,Manikpur,Taluk,Bongaigaon,District,ASSAM,State,
782411,Morigaon,Taluk,Marigaon,District,ASSAM,State,
783339,Debitola,Taluk,Dhubri,District,ASSAM,State,
781122,Chaini ( Jharobari),Taluk,Kamrup,District,ASSAM,State,
783335,Agomoni,Taluk,Dhubri,District,ASSAM,State,
788119,Cachar,Cachar,District,ASSAM,ASSAM,,
783131,Mankachar,Taluk,Dhubri,District,ASSAM,State,
787057,Dhemaji,Taluk,Dhemaji,District,ASSAM,State,
784506,Missamari,Taluk,Sonitpur,District,ASSAM,State,
781134,Dakhin Sarubanswar ( Rampur),Taluk,Kamrup,District,ASSAM,State,
788114,Cachar,Cachar,District,ASSAM,ASSAM,,
781131,Rani Block,Taluk,Kamrup,District,ASSAM,State,
788104,Cachar,Cachar,District,ASSAM,ASSAM,,
782448,Donka,Taluk,Karbi Anglong,District,ASSAM,State,
788713,Karimganj,Karimganj,District,ASSAM,ASSAM,,
785112,Jorhat,Taluk,Jorhat,District,ASSAM,State,
785112,Jorhat,Taluk,Jorhat,District,ASSAM,State,
788115,Cachar,Cachar,District,ASSAM,ASSAM,,
783382,Boitamari,Taluk,Bongaigaon,District,ASSAM,State,
782429,Hojai,Taluk,Nagaon,District,ASSAM,State,
781136,Chamaria,Taluk,Kamrup,District,ASSAM,State,
785697,Svs,Taluk,Sibsagar,District,ASSAM,State,
786003,Dibrugarh,Taluk,Dibrugarh,District,ASSAM,State,
786003,Dibrugarh,Taluk,Dibrugarh,District,ASSAM,State,
785104,Majuli,Taluk,Jorhat,District,ASSAM,State,
787060,Jonai,Taluk,Dhemaji,District,ASSAM,State,
784529,Mangaldoi,Taluk,Darrang,District,ASSAM,State,
782490,Bokajan,Taluk,Karbi Anglong,District,ASSAM,State,
784164,Dikrong,Taluk,Lakhimpur,District,ASSAM,State,
785683,Svs,Taluk,Sibsagar,District,ASSAM,State,
785614,Glt,Taluk,Golaghat,District,ASSAM,State,
782435,Hojai,Taluk,Nagaon,District,ASSAM,State,
785007,Jorhat,Taluk,Jorhat,District,ASSAM,State,
785001,Jorhat,Taluk,Jorhat,District,ASSAM,State,
785006,Jorhat,Taluk,Jorhat,District,ASSAM,State,
784160,Laluk,Taluk,Lakhimpur,District,ASSAM,State,
787058,Machkhowa,Taluk,Dhemaji,District,ASSAM,State,
783129,Lakhipur,Taluk,Goalpara,District,ASSAM,State,
787051,Lakhimpur,Taluk,Lakhimpur,District,ASSAM,State,
783360,Gossaigaon,Taluk,Kokrajhar,District,ASSAM,State,
783360,Gossaigaon,Taluk,Kokrajhar,District,ASSAM,State,
782445,Hojai,Taluk,Nagaon,District,ASSAM,State,
783393,Borobazar,Taluk,Bongaigaon,District,ASSAM,State,
783129,Lakhipur,Taluk,Goalpara,District,ASSAM,State,
788107,Cachar,Cachar,District,ASSAM,ASSAM,,
788107,Cachar,Cachar,District,ASSAM,ASSAM,,
783129,Lakhipur,Taluk,Goalpara,District,ASSAM,State,
787055,Dhakuakhana,Taluk,Lakhimpur,District,ASSAM,State,
785665,Sibsagar,Taluk,Sibsagar,District,ASSAM,State,
786173,Margherita,Taluk,Tinsukia,District,ASSAM,State,
787058,Machkhowa,Taluk,Dhemaji,District,ASSAM,State,
782427,Nagaon,Taluk,Nagaon,District,ASSAM,State,
782428,Nagaon,Taluk,Nagaon,District,ASSAM,State,
782442,Hojai,Taluk,Nagaon,District,ASSAM,State,
788724,Karimganj,Karimganj,District,ASSAM,ASSAM,,
782124,Nagaon,Taluk,Nagaon,District,ASSAM,State,
783120,Balijana,Taluk,Goalpara,District,ASSAM,State,
782426,Nagaon,Taluk,Nagaon,District,ASSAM,State,
781330,Barpeta,Barpeta,District,ASSAM,ASSAM,,
784525,Kalaigaon,Taluk,Darrang,District,ASSAM,State,
787060,Jonai,Taluk,Dhemaji,District,ASSAM,State,
788121,Cachar,Cachar,District,ASSAM,ASSAM,,
783134,Dudhnoi,Taluk,Goalpara,District,ASSAM,State,
782104,Morigaon,Taluk,Marigaon,District,ASSAM,State,
785010,Jorhat,Taluk,Jorhat,District,ASSAM,State,
783334,Golakganj,Taluk,Dhubri,District,ASSAM,State,
785616,Jorhat,Taluk,Jorhat,District,ASSAM,State,
785705,Sibsagar,Sibsagar,District,ASSAM,ASSAM,,
782002,Nagaon,Taluk,Nagaon,District,ASSAM,State,
786152,Doom Dooma,Taluk,Tinsukia,District,ASSAM,State,
786602,Duliajan,Taluk,Dibrugarh,District,ASSAM,State,
787058,Machkhowa,Taluk,Dhemaji,District,ASSAM,State,
781354,Rangia Block,Taluk,Kamrup,District,ASSAM,State,
784001,Kacharigaon,Taluk,Sonitpur,District,ASSAM,State,
783334,Golakganj,Taluk,Dhubri,District,ASSAM,State,
785702,Glt,Taluk,Golaghat,District,ASSAM,State,
784117,Sirajuli,Taluk,Sonitpur,District,ASSAM,State,
788163,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
784161,Bihupuria,Taluk,Lakhimpur,District,ASSAM,State,
782426,Nagaon,Taluk,Nagaon,District,ASSAM,State,
784165,Dhalpur,Taluk,Lakhimpur,District,ASSAM,State,
781367,Nalbari,Nalbari,District,ASSAM,ASSAM,,
784523,Panerihat,Taluk,Darrang,District,ASSAM,State,
788119,Cachar,Cachar,District,ASSAM,ASSAM,,
788119,Cachar,Cachar,District,ASSAM,ASSAM,,
783350,Kachugaon,Taluk,Kokrajhar,District,ASSAM,State,
781367,Nalbari,Nalbari,District,ASSAM,ASSAM,,
785633,Jorhat,Taluk,Jorhat,District,ASSAM,State,
781127,Mandia,Taluk,Kamrup,District,ASSAM,State,
785670,Svs,Taluk,Sibsagar,District,ASSAM,State,
781138,Bartola,Taluk,Nalbari,District,ASSAM,State,
785619,Golaghat,Taluk,Golaghat,District,ASSAM,State,
782482,Diphu,Taluk,Karbi Anglong,District,ASSAM,State,
787032,Lakhimpur,Taluk,Lakhimpur,District,ASSAM,State,
787034,Gogamukh,Taluk,Dhemaji,District,ASSAM,State,
786145,Tinsukia,Taluk,Tinsukia,District,ASSAM,State,
786001,Dibrugarh,Taluk,Dibrugarh,District,ASSAM,State,
788166,Karimganj,Karimganj,District,ASSAM,ASSAM,,
783348,Raniganj,Taluk,Dhubri,District,ASSAM,State,
781314,Barpeta,Barpeta,District,ASSAM,ASSAM,,
782122,Nagaon,Taluk,Nagaon,District,ASSAM,State,
781308,Barpeta,Barpeta,District,ASSAM,ASSAM,,
782413,Jagiroad,Taluk,Marigaon,District,ASSAM,State,
783130,Rangjuli,Taluk,Goalpara,District,ASSAM,State,
781019,Gmc,Taluk,Kamrup,District,ASSAM,State,
782480,Bokajan,Taluk,Karbi Anglong,District,ASSAM,State,
784505,Rangapara,Taluk,Sonitpur,District,ASSAM,State,
786152,Margherita,Taluk,Tinsukia,District,ASSAM,State,
781124,Chhaygaonpantan,Taluk,Kamrup,District,ASSAM,State,
783335,Agomoni,Taluk,Dhubri,District,ASSAM,State,
781370,Kaithalkuchi,Taluk,Nalbari,District,ASSAM,State,
787058,Machkhowa,Taluk,Dhemaji,District,ASSAM,State,
783348,Raniganj,Taluk,Dhubri,District,ASSAM,State,
783385,Bongaigaon,Taluk,Bongaigaon,District,ASSAM,State,
782441,Diphu,Taluk,Karbi Anglong,District,ASSAM,State,
784509,Udalguri,Taluk,Darrang,District,ASSAM,State,
788115,Cachar,Cachar,District,ASSAM,ASSAM,,
785612,Bkt,Taluk,Golaghat,District,ASSAM,State,
783383,Baitamari,Taluk,Bongaigaon,District,ASSAM,State,
785107,Jorhat,Taluk,Jorhat,District,ASSAM,State,
785107,Jorhat,Taluk,Jorhat,District,ASSAM,State,
786152,Doomdooma,Taluk,Tinsukia,District,ASSAM,State,
782425,Nagaon,Taluk,Nagaon,District,ASSAM,State,
781304,Kakaya,Taluk,Nalbari,District,ASSAM,State,
782141,Nagaon,Taluk,Nagaon,District,ASSAM,State,
782446,Lanka,Taluk,Nagaon,District,ASSAM,State,
782442,Hojai,Taluk,Nagaon,District,ASSAM,State,
784168,Gohpur,Taluk,Sonitpur,District,ASSAM,State,
785108,Jorhat,Taluk,Jorhat,District,ASSAM,State,
788101,Cachar,Cachar,District,ASSAM,ASSAM,,
785631,Ttb,Taluk,Jorhat,District,ASSAM,State,
787051,Lakhimpur,Taluk,Lakhimpur,District,ASSAM,State,
786151,Doomdooma,Taluk,Tinsukia,District,ASSAM,State,
783346,Dotma,Taluk,Kokrajhar,District,ASSAM,State,
785691,Svs,Taluk,Sibsagar,District,ASSAM,State,
783131,Mankachar,Taluk,Dhubri,District,ASSAM,State,
784178,Kalabari,Taluk,Sonitpur,District,ASSAM,State,
788098,Cachar,Cachar,District,ASSAM,ASSAM,,
788166,Karimganj,Karimganj,District,ASSAM,ASSAM,,
781351,Kalag,Taluk,Nalbari,District,ASSAM,State,
781315,Barpeta,Barpeta,District,ASSAM,ASSAM,,
784525,Kalaigaon,Taluk,Darrang,District,ASSAM,State,
788815,Cachar,Cachar,District,ASSAM,ASSAM,,
788815,Cachar,Cachar,District,ASSAM,ASSAM,,
781380,Kamalpur Block,Taluk,Kamrup,District,ASSAM,State,
787058,Machkhowa,Taluk,Dhemaji,District,ASSAM,State,
788116,Cachar,Cachar,District,ASSAM,ASSAM,,
787023,Lakhimpur,Taluk,Lakhimpur,District,ASSAM,State,
785010,Jorhat,Taluk,Jorhat,District,ASSAM,State,
786007,Barbaruah,Taluk,Dibrugarh,District,ASSAM,State,
784149,Thelamara,Taluk,Sonitpur,District,ASSAM,State,
788737,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
782485,Donka,Taluk,Karbi Anglong,District,ASSAM,State,
783135,Fekamari,Taluk,Dhubri,District,ASSAM,State,
781312,Nalbari,Nalbari,District,ASSAM,ASSAM,,
781127,Mandia,Taluk,Kamrup,District,ASSAM,State,
781367,Nalbari,Nalbari,District,ASSAM,ASSAM,,
781136,Chamaria,Taluk,Kamrup,District,ASSAM,State,
781367,Nalbari,Nalbari,District,ASSAM,ASSAM,,
781368,Nalbari,Nalbari,District,ASSAM,ASSAM,,
783335,Agomoni,Taluk,Dhubri,District,ASSAM,State,
781319,Kalgachia,Taluk,Barpeta,District,ASSAM,State,
784027,Kaliabhomora,Taluk,Sonitpur,District,ASSAM,State,
782124,Nagaon,Taluk,Nagaon,District,ASSAM,State,
783390,Minikpur,Taluk,Bongaigaon,District,ASSAM,State,
785614,Glt,Taluk,Golaghat,District,ASSAM,State,
788150,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
784001,Tezpur,Taluk,Sonitpur,District,ASSAM,State,
788720,Karimganj,Karimganj,District,ASSAM,ASSAM,,
787053,Ghilamara,Taluk,Lakhimpur,District,ASSAM,State,
784526,Dimakuchi,Taluk,Darrang,District,ASSAM,State,
788712,Karimganj,Karimganj,District,ASSAM,ASSAM,,
788801,Hailakandi,Hailakandi,District,ASSAM,ASSAM,,
788166,Karimganj,Karimganj,District,ASSAM,ASSAM,,
785664,Svs,Taluk,Sibsagar,District,ASSAM,State,
783369,Kokrajhar,Taluk,Kokrajhar,District,ASSAM,State,
781360,Kalipur,Taluk,Nalbari,District,ASSAM,State,
781102,Hajo Block,Taluk,Kamrup,District,ASSAM,State,
781346,Kaljar,Taluk,Nalbari,District,ASSAM,State,
788725,Karimganj,Karimganj,District,ASSAM,ASSAM,,
784178,Kalabari,Taluk,Sonitpur,District,ASSAM,State,
782141,Nagaon,Taluk,Nagaon,District,ASSAM,State,
785666,Sibsagar,Taluk,Sibsagar,District,ASSAM,State,
781315,Barpeta,Barpeta,District,ASSAM,ASSAM,,
