Pincode,Location,Taluk,District,,State,,
744207,Hut Bay,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744204,Mayabander,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
522101,Bapatla,Taluk,Guntur,District,ANDHRA PRADESH,State,
531022,Chodavaram,Taluk,Visakhapatnam,District,ANDHRA PRADESH,State,
531022,Chodavaram,Taluk,Visakhapatnam,District,ANDHRA PRADESH,State,
533408,Thondangi,Taluk,East Godavari,District,ANDHRA PRADESH,State,
533449,Gollaprolu,Taluk,East Godavari,District,ANDHRA PRADESH,State,
515004,Anantapur,Taluk,Ananthapur,District,ANDHRA PRADESH,State,
535281,Vepada,Taluk,Vizianagaram,District,ANDHRA PRADESH,State,
535218,Nellimarla,Taluk,Vizianagaram,District,ANDHRA PRADESH,State,
530003,Visakhapatnam (Urban),Taluk,Visakhapatnam,District,ANDHRA PRADESH,State,
533449,Gollaprolu,Taluk,East Godavari,District,ANDHRA PRADESH,State,
531027,Chodavaram,Taluk,Visakhapatnam,District,ANDHRA PRADESH,State,
516339,Chapad,Taluk,Cuddapah,District,ANDHRA PRADESH,State,
523171,Prakasam,Prakasam,District,ANDHRA PRADESH,ANDHRA PRADESH,,
520003,Vijayawada (Urban),Taluk,Krishna,District,ANDHRA PRADESH,State,
524002,Nellore,Taluk,Nellore,District,ANDHRA PRADESH,State,
500030,Rajendranagar,Taluk,K.V.Rangareddy,District,ANDHRA PRADESH,State,
534416,Kaikaram,Taluk,West Godavari,District,ANDHRA PRADESH,State,
518467,Kurnool,Taluk,Kurnool,District,ANDHRA PRADESH,State,
534197,Ganapavaramandalam,Taluk,West Godavari,District,ANDHRA PRADESH,State,
500004,Khairatabad,Taluk,Hyderabad,District,ANDHRA PRADESH,State,
500045,Khairatabad,Taluk,Hyderabad,District,ANDHRA PRADESH,State,
502032,Ramachandrapuram,Taluk,Medak,District,ANDHRA PRADESH,State,
518523,Nandyal,Taluk,Kurnool,District,ANDHRA PRADESH,State,
521226,A.Konduru,Taluk,Krishna,District,ANDHRA PRADESH,State,
505215,Ramagundam,Taluk,Karim Nagar,District,ANDHRA PRADESH,State,
517507,Tirupati (Rural),Taluk,Chittoor,District,ANDHRA PRADESH,State,
520012,Vijayawada (Urban),Taluk,Krishna,District,ANDHRA PRADESH,State,
520008,Vijayawada (Urban),Taluk,Krishna,District,ANDHRA PRADESH,State,
534456,Jeelugumilli,Taluk,West Godavari,District,ANDHRA PRADESH,State,
522004,Guntur,Taluk,Guntur,District,ANDHRA PRADESH,State,
533577,Amalapuram.,Taluk,East Godavari,District,ANDHRA PRADESH,State,
534267,Poduru (mdl),Taluk,West Godavari,District,ANDHRA PRADESH,State,
535547,Makkuva,Taluk,Vizianagaram,District,ANDHRA PRADESH,State,
506310,Wardhannapet,Taluk,Warangal,District,ANDHRA PRADESH,State,
505208,Karim Nagar,Karim Nagar,District,ANDHRA PRADESH,ANDHRA PRADESH,,
506144,Jangaon,Taluk,Warangal,District,ANDHRA PRADESH,State,
506315,Maripeda,Taluk,Warangal,District,ANDHRA PRADESH,State,
506343,Mulug,Taluk,Warangal,District,ANDHRA PRADESH,State,
522237,Tulluru,Taluk,Guntur,District,ANDHRA PRADESH,State,
516270,Rayachoty,Taluk,Cuddapah,District,ANDHRA PRADESH,State,
516269,Rayachoti,Taluk,Cuddapah,District,ANDHRA PRADESH,State,
502286,Narayankhed,Taluk,Medak,District,ANDHRA PRADESH,State,
522015,Guntur,Taluk,Guntur,District,ANDHRA PRADESH,State,
534266,West Godavari,West Godavari,District,ANDHRA PRADESH,ANDHRA PRADESH,,
507316,P.r.gudem,Taluk,Khammam,District,ANDHRA PRADESH,State,
522403,Sattenapalle,Taluk,Guntur,District,ANDHRA PRADESH,State,
518123,Banaganapalli,Taluk,Kurnool,District,ANDHRA PRADESH,State,
518533,Kurnool,Taluk,Kurnool,District,ANDHRA PRADESH,State,
506145,Narmitta,Taluk,Warangal,District,ANDHRA PRADESH,State,
503245,Nizamabad,Taluk,Nizamabad,District,ANDHRA PRADESH,State,
509210,Mahabub Nagar,Mahabub Nagar,District,ANDHRA PRADESH,ANDHRA PRADESH,,
507121,Kunavaram,Taluk,Khammam,District,ANDHRA PRADESH,State,
504273,Asifabad,Taluk,Adilabad,District,ANDHRA PRADESH,State,
515621,Kambadur,Taluk,Ananthapur,District,ANDHRA PRADESH,State,
505445,Gangadhara,Taluk,Karim Nagar,District,ANDHRA PRADESH,State,
503302,Kamareddy,Taluk,Nizamabad,District,ANDHRA PRADESH,State,
509375,Achampet,Taluk,Mahabub Nagar,District,ANDHRA PRADESH,State,
507160,Nkpally,Taluk,Khammam,District,ANDHRA PRADESH,State,
516421,Pulivendla,Taluk,Cuddapah,District,ANDHRA PRADESH,State,
521333,Kaikalur,Taluk,Krishna,District,ANDHRA PRADESH,State,
504293,Asifabad,Taluk,Adilabad,District,ANDHRA PRADESH,State,
515124,Penukonda,Taluk,Ananthapur,District,ANDHRA PRADESH,State,
531115,Narsipatnam,Taluk,Visakhapatnam,District,ANDHRA PRADESH,State,
534449,Kamavarapukota,Taluk,West Godavari,District,ANDHRA PRADESH,State,
532403,Laveru Mandal,Taluk,Srikakulam,District,ANDHRA PRADESH,State,
516150,Nandalur,Taluk,Cuddapah,District,ANDHRA PRADESH,State,
517643,K.v.b.puram,Taluk,Chittoor,District,ANDHRA PRADESH,State,
517643,K.v.b.puram,Taluk,Chittoor,District,ANDHRA PRADESH,State,
532440,R.amadalavalasa,Taluk,Srikakulam,District,ANDHRA PRADESH,State,
508207,Miryalguda,Taluk,Nalgonda,District,ANDHRA PRADESH,State,
505184,Karim Nagar,Karim Nagar,District,ANDHRA PRADESH,ANDHRA PRADESH,,
517425,Palamaner,Taluk,Chittoor,District,ANDHRA PRADESH,State,
506169,Bhupalapalli,Taluk,Warangal,District,ANDHRA PRADESH,State,
516215,Sambepalle,Taluk,Cuddapah,District,ANDHRA PRADESH,State,
534198,Ganapavaram Mandalam,Taluk,West Godavari,District,ANDHRA PRADESH,State,
517592,Nagari,Taluk,Chittoor,District,ANDHRA PRADESH,State,
521212,Krishna,Taluk,Krishna,District,ANDHRA PRADESH,State,
534260,Palakol (mdl),Taluk,West Godavari,District,ANDHRA PRADESH,State,
505184,Karim Nagar,Karim Nagar,District,ANDHRA PRADESH,ANDHRA PRADESH,,
522262,Kuchinapudi,Taluk,Guntur,District,ANDHRA PRADESH,State,
521390,Pamarru,Taluk,Krishna,District,ANDHRA PRADESH,State,
508277,Nalgodna,Taluk,Nalgonda,District,ANDHRA PRADESH,State,
509382,Mahabub Nagar,Mahabub Nagar,District,ANDHRA PRADESH,ANDHRA PRADESH,,
516259,Chakrayapet,Taluk,Cuddapah,District,ANDHRA PRADESH,State,
533252,Sakhinetipalli Mandal,Taluk,East Godavari,District,ANDHRA PRADESH,State,
533262,Pamarru,Taluk,East Godavari,District,ANDHRA PRADESH,State,
523001,Ongole,Taluk,Prakasam,District,ANDHRA PRADESH,State,
523201,Ongole,Taluk,Prakasam,District,ANDHRA PRADESH,State,
535501,Vizianagaram,Vizianagaram,District,ANDHRA PRADESH,ANDHRA PRADESH,,
533401,Tuni,Taluk,East Godavari,District,ANDHRA PRADESH,State,
