CityName,PinCode,Name of Location ,Region,COD,zone_id,Provider
Central Delhi,110108,Patel Nagar,North,1,1483,ARAMEX
Central Delhi,110109,Modol Town,North,1,1483,ARAMEX
Central Delhi,110110,Delhi Cant,North,1,1483,ARAMEX
Central Delhi,110112,Inder Puri,North,1,1483,ARAMEX
Central Delhi,110113,Nizamuddin,North,1,1483,ARAMEX
Central Delhi,110114,Aashram,North,1,1483,ARAMEX
Central Delhi,110115,Kirti Nagar,North,1,1483,ARAMEX
Central Delhi,110116,Hauz Khas,North,1,1483,ARAMEX
Central Delhi,110117,Malviya Nagar,North,1,1483,ARAMEX
Central Delhi,110118,Tilak Nagar,North,1,1483,ARAMEX
Central Delhi,110119,Nehru Place,North,1,1483,ARAMEX
Central Delhi,110120,Okhla,North,1,1483,ARAMEX
Central Delhi,110122,R K Puram,North,1,1483,ARAMEX
Central Delhi,110124,Lajpat Nagar,North,1,1483,ARAMEX
Central Delhi,110125,Jamia Nagar,North,1,1483,ARAMEX
Central Delhi,110301,Gandhi Nagar,North,1,1483,ARAMEX
Central Delhi,110302,Shahdra,North,1,1483,ARAMEX
Central Delhi,110501,Okhla,North,1,1483,ARAMEX
Central Delhi,110502,Asaf Ali Road,North,1,1483,ARAMEX
Central Delhi,110503,Lodhi Road,North,1,1483,ARAMEX
Central Delhi,110504,Ratriyapati Bhawan,North,1,1483,ARAMEX
Central Delhi,110510,Delhi Cant,North,1,1483,ARAMEX
Central Delhi,110511,Ministry,North,1,1483,ARAMEX
Central Delhi,110512,Inder Puri,North,1,1483,ARAMEX
Central Delhi,110601,Safdarjung Enclave,North,1,1483,ARAMEX
Central Delhi,110602,Safdarjung Enclave,North,1,1483,ARAMEX
Central Delhi,110603,Safdarjung Enclave,North,1,1483,ARAMEX
Central Delhi,110604,Safdarjung Enclave,North,1,1483,ARAMEX
Central Delhi,110605,Safdarjung Enclave,North,1,1483,ARAMEX
Central Delhi,110606,Safdarjung Enclave,North,1,1483,ARAMEX
Central Delhi,110607,Safdarjung Enclave,North,1,1483,ARAMEX
Central Delhi,110608,Safdarjung Enclave,North,1,1483,ARAMEX
Central Delhi,110609,Safdarjung Enclave,North,1,1483,ARAMEX
Faridabad,121001,Faridabad,North,1,1483,ARAMEX
Faridabad,121002,Faridabad,North,1,1483,ARAMEX
Faridabad,121003,Faridabad,North,1,1483,ARAMEX
Faridabad,121004,Faridabad,North,1,1483,ARAMEX
Faridabad,121005,Faridabad,North,1,1483,ARAMEX
Faridabad,121006,Faridabad,North,1,1483,ARAMEX
Faridabad,121007,Faridabad,North,1,1483,ARAMEX
Faridabad,121008,Faridabad,NORTH,1,1486,ARAMEX
Faridabad,121009,Faridabad,North,1,1483,ARAMEX
Faridabad,121102,Palwal,NORTH,1,1486,ARAMEX
Gurgaon,122001,Gurgaon,North,1,1483,ARAMEX
Gurgaon,122002,Gurgaon,North,1,1483,ARAMEX
Gurgaon,122003,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122004,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122005,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122006,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122007,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122008,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122009,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122010,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122011,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122012,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122015,Gurgaon,North,1,1483,ARAMEX
Gurgaon,122016,Gurgaon,North,1,1483,ARAMEX
Gurgaon,122017,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122018,Gurgaon,NORTH,1,1486,ARAMEX
Gurgaon,122050,Gurgaon,North,1,1483,ARAMEX
Gurgaon,122051,Gurgaon,NORTH,1,1486,ARAMEX
Rewari,122100,Bhiwadi,NORTH,1,1501,ARAMEX
Rewari,122106,Bhiwadi,NORTH,1,1501,ARAMEX
Rewari,123401,Rewari,North,1,1486,ARAMEX
Rewari,123501,Bawal,NORTH,1,1486,ARAMEX
Jhajjar,124507,Jhajjar,North,1,1486,ARAMEX
Hisar,125001,Hissar,North,1,1486,ARAMEX
Haryana,125002,Hissar,North,1,1486,ARAMEX
Haryana,125003,Hissar,North,1,1486,ARAMEX
Hisar,125004,Hissar,North,1,1486,ARAMEX
Hisar,125005,Hissar,North,1,1486,ARAMEX
Haryana,125021,Hissar,North,1,1486,ARAMEX
Hisar,125033,Hissar,North,1,1486,ARAMEX
Hisar,125044,Hissar,North,1,1500,ARAMEX
Haryana,125046,Hissar,North,1,1500,ARAMEX
Fatehabad,125050,Hissar,North,1,1486,ARAMEX
Fatehabad,125051,Hissar,North,1,1486,ARAMEX
Hisar,125052,Hissar,North,1,1486,ARAMEX
Fatehabad,125053,Hissar,North,1,1486,ARAMEX
Sirsa,125055,Sirsa,NORTH,1,1486,ARAMEX
Sirsa,125104,Dabwali,NORTH,1,1486,ARAMEX
Jind,126102,Jind,North,1,1486,ARAMEX
Bhiwani,127021,Bhiwani,NORTH,1,1486,ARAMEX
